marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
MITSUBISHI,Space Star,2023,17300,15050,17500,10/2023,gasolina,2,berlina,60 ,bronce sand,,3845,1665,1505,2450,209/0,1340,5,5,1193,3,,delantera,manual,5,52,71,106,180,12.6,5.3,4.4,4.7,108.0,35.0,spain,vizcaya,vendedor profesional
FORD,Puma,2022,25990,22090,,01/2022,gasolina y corriente electrica,22200,"4x4, suv o pickup",12 ,azul / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,valencia,vendedor profesional
SEAT,Leon,2021,18990,,28780,05/2021,gasolina,79094,berlina,12 ,blanco,,4368,1800,1456,2686,380/0,1850,5,5,999,3,turbo de geometria variable,delantera,automatica secuencial,7,81,110,200,192,10.6,5.1,4.0,4.4,101.0,45.0,spain,malaga,vendedor profesional
MERCEDES-BENZ,Clase GLC,2020,39990,38990,55136,01/2020,diesel,114520,todo terreno,24 ,blanco,,4658,1890,1644,2873,550/1600,2500,5,5,1950,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,9,143,194,400,215,7.9,6.8,3.6,5.2,137.0,66.0,spain,valencia,vendedor profesional
CITROEN,C5 Aircross,2019,24900,21000,38730,09/2019,diesel,51400,todo terreno,12 ,gris acero / metalizado,,4500,1969,1654,2730,580/720,2020,5,5,1499,4,turbo,delantera,automatica secuencial,8,96,130,300,189,10.6,4.4,3.8,4.0,100.0,53.0,spain,castellon,vendedor profesional
MERCEDES-BENZ,Clase A,2022,37500,36500,,11/2022,electrico,4466,berlina mediana o grande,12 ,gris montana metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,granada,vendedor profesional
CITROEN,C3,2022,13990,12871,19770,03/2022,gasolina,33511,berlina,si,azul,,3996,1749,1474,2539,300/0,1550,5,5,1199,3,turbo,delantera,manual,5,60,83,118,168,13.0,5.7,4.1,4.7,97.0,42.0,spain,barcelona,vendedor profesional
AUDI,A4 Allroad,2016,24900,24000,,08/2016,diesel,227000,familiar,12 ,verde,,,,,,,,,,,,,,,,,,,,,,,,,,spain,murcia,vendedor profesional
JAGUAR,F-Pace,2018,23800,22800,62614,06/2018,diesel,57000,todo terreno,12 ,blanco,,4731,2070,1652,2874,650/0,2460,5,5,1999,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,132,180,430,208,8.7,6.2,4.7,5.3,162.0,60.0,spain,madrid,vendedor profesional
MERCEDES-BENZ,Clase GLC,2020,44990,42443,,01/2020,diesel,64950,"4x4, suv o pickup",24 ,negro obsidiana,,,,,,,,,,,,,,,,,,,,,,,,,,spain,jaen,vendedor profesional
OPEL,Crossland,2022,14490,13190,,03/2022,gasolina,36934,"4x4, suv o pickup",12 ,rojo / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,madrid,vendedor profesional
TOYOTA,Corolla,2022,22730,22730,,04/2022,hibrido,23330,berlina mediana o grande,24 ,negro detroit,,,,,,,,,,,,,,,,,,,,,,,,,,spain,barcelona,vendedor profesional
BMW,Serie 2,2023,76945,,91250,09/2023,gasolina,5000,coupe,24 ,negro / metalizado,,4580,1887,1403,2747,390/0,2155,2,4,2993,6,turbo,trasera,automatica secuencial,8,338,460,550,250,4.1,0.0,0.0,0.0,,52.0,spain,madrid,vendedor profesional
MAZDA,CX-5,2019,22900,21900,40080,02/2019,gasolina,118000,todo terreno,12 ,granate / metalizado,,4550,1840,1680,2700,477/1620,2020,5,5,2488,4,,todo terreno traccion total conectable,automatica secuencial,6,143,194,258,195,9.2,8.7,6.1,7.1,164.0,56.0,spain,valencia,vendedor profesional
CITROEN,C3 Aircross,2022,17900,16468,24520,04/2022,diesel,19246,todo terreno,si,blanco,,4160,1824,1597,2604,410/520,1835,5,5,1499,4,turbo de geometria variable,delantera,manual,6,81,110,250,184,10.5,0.0,0.0,0.0,,45.0,spain,barcelona,vendedor profesional
RENAULT,Megane,2021,16099,15745,28745,06/2021,diesel,32272,stationwagon,24 ,azul,,4626,1814,1448,2712,521/1504,1954,5,5,1461,4,turbo,delantera,manual,6,85,115,270,191,11.4,4.4,4.0,4.1,106.0,45.0,spain,barcelona,vendedor profesional
CITROEN,C4 Cactus,2018,14800,,20100,11/2018,gasolina,66000,berlina,12 ,blanco,,4170,1714,1480,2595,358/0,1565,5,5,1199,3,turbo,delantera,manual,5,81,110,205,188,10.3,5.5,3.9,4.5,104.0,50.0,spain,zaragoza,vendedor profesional
PEUGEOT,2008,2020,17850,,29140,04/2020,gasolina,45000,todo terreno,12 ,blanco,,4300,1770,1530,2605,405/1467,1710,5,5,1199,3,turbo,delantera,manual,6,96,130,230,188,10.9,5.3,4.0,4.5,103.0,44.0,spain,barcelona,vendedor profesional
MERCEDES-BENZ,Clase CLA,2019,33000,32000,39753,07/2019,gasolina,161352,coupe,24 ,rojo jupiter,,4688,1830,1444,2729,460/0,1950,4,5,1332,4,,delantera,automatica secuencial,7,120,163,250,229,8.2,0.0,0.0,0.0,,43.0,spain,salamanca,vendedor profesional
CITROEN,C3,2020,13200,12500,20875,01/2020,diesel,40700,berlina,12 ,blanco,,3996,1749,1474,2539,300/0,1640,5,5,1499,4,turbo de geometria variable,delantera,manual,5,73,100,250,185,10.6,4.2,3.3,3.7,96.0,42.0,spain,barcelona,vendedor profesional
KIA,Sportage,2017,15990,,23150,03/2017,gasolina,96000,todo terreno,12 ,gris / metalizado,,4480,1855,1635,2670,491/1492,1895,5,5,1591,4,,delantera,manual,6,97,132,157,182,11.5,8.6,5.6,6.7,156.0,62.0,spain,madrid,vendedor profesional
RENAULT,Captur,2023,24500,22500,,02/2023,gasolina,9332,"4x4, suv o pickup",36 ,rojo,,,,,,,,,,,,,,,,,,,,,,,,,,spain,vizcaya,vendedor profesional
HYUNDAI,i10,2023,13990,12990,16740,05/2023,gasolina,18270,berlina,60 ,blanco,,3670,1680,1480,2425,252/1050,1410,5,5,998,3,,delantera,manual,5,49,66,96,156,14.8,5.7,3.1,4.4,101.0,36.0,spain,asturias,vendedor profesional
VOLVO,XC60,2023,53900,52900,,07/2023,electrico,20725,"4x4, suv o pickup",24 ,denim blue m. c723e,,,,,,,,,,,,,,,,,,,,,,,,,,spain,murcia,vendedor profesional
PEUGEOT,2008,2020,18750,,25550,09/2020,diesel,87200,todo terreno,12 ,gris / metalizado,,4300,1770,1530,2605,405/1467,1548,5,5,1499,4,turbo,delantera,manual,6,74,100,250,185,11.8,4.2,3.5,3.8,95.0,41.0,spain,madrid,vendedor profesional
BMW,X2,2018,30250,,48050,03/2018,diesel,54577,todo terreno,12 ,blanco,,4360,1824,1526,2670,470/1355,2190,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,140,190,400,221,7.7,5.3,4.3,4.6,122.0,51.0,spain,madrid,vendedor profesional
SEAT,Arona,2018,16290,,24460,04/2018,diesel,119000,todo terreno,12 ,rojo,,4138,1780,1552,2566,400/0,1810,5,5,1598,4,turbo de geometria variable,delantera,manual,6,85,115,250,185,10.5,4.9,4.0,4.3,114.0,40.0,spain,granada,vendedor profesional
PEUGEOT,3008,2017,19999,,29470,09/2017,diesel,111000,monovolumen,12 ,blanco,,4365,1837,1625,2613,432/512,2020,5,5,1560,4,turbo de geometria variable,delantera,manual,6,88,121,300,183,12.0,4.6,3.8,4.1,108.0,60.0,spain,salamanca,vendedor profesional
KIA,XCeed,2023,32500,25500,,03/2023,hibrido,0,berlina mediana o grande,si,negro,,,,,,,,,,,,,,,,,,,,,,,,,,spain,cordoba,vendedor profesional
MERCEDES-BENZ,Clase A,2021,35900,33900,,11/2021,hibrido,38846,berlina mediana o grande,24 ,rojo,,,,,,,,,,,,,,,,,,,,,,,,,,spain,zaragoza,vendedor profesional
OPEL,Mokka,2019,16590,15090,24850,05/2019,gasolina,36843,todo terreno,12 ,negro,,4271,1781,1658,2555,356/1372,1789,5,5,1364,4,turbo,delantera,manual,6,103,140,200,196,9.9,7.5,5.0,5.9,150.0,52.0,spain,malaga,vendedor profesional
