marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
MITSUBISHI,Outlander,2019,26900,26500,52300,12/2019,hibrido enchufable,53000,todo terreno,12 ,blanco,,4695,1800,1710,2670,498/921,2390,5,5,2360,4,,todo terreno traccion total permanente,automatica continua,1,165,224,195,170,10.5,0.0,0.0,1.8,40.0,45.0,spain,madrid,vendedor profesional
AUDI,Q3,2023,43300,,49884,08/2023,gasolina,100,todo terreno,24 ,blanco,,4500,1843,1556,2680,530/1400,2025,5,5,1498,4,turbo,delantera,automatica secuencial,7,110,150,250,208,0.0,0.0,0.0,0.0,,60.0,spain,leon,vendedor profesional
PORSCHE,Panamera,2018,74900,73900,119315,08/2018,hibrido enchufable,99000,stationwagon,12 ,gris / metalizado,,5049,1937,1428,2950,425/1391,2810,5,5,2894,6,turbo de geometria variable,total permanente,automatica secuencial,8,340,462,1100,275,4.6,0.0,0.0,2.9,66.0,80.0,spain,valencia,vendedor profesional
PEUGEOT,5008 SUV,2017,18495,17495,30150,08/2017,gasolina,66131,todo terreno,12 ,azul,,4641,1844,1651,2840,780/0,2120,5,7,1199,3,turbo,delantera,manual,6,96,130,230,188,10.8,6.0,4.5,5.1,117.0,56.0,spain,sevilla,vendedor profesional
NISSAN,Qashqai,2022,24500,,32700,01/2022,gasolina,38740,todo terreno,12 ,blanco,,4425,1848,1625,2665,436/1447,1935,5,5,1332,4,turbo,delantera,manual,6,103,140,240,196,10.2,0.0,0.0,0.0,,55.0,spain,cordoba,vendedor profesional
JEEP,Wrangler,2008,25599,,31354,03/2008,diesel,42450,todo terreno,12 ,granate,,4223,1873,1800,2424,142/713,2501,3,4,2777,4,turbo,todo terreno traccion total conectable,manual,6,130,177,400,180,11.7,10.6,7.1,8.4,223.0,66.6,spain,barcelona,vendedor profesional
BMW,X1,2016,17000,,34100,10/2016,diesel,174000,todo terreno,12 ,blanco / metalizado,,4439,1821,1598,2670,505/1550,2090,5,5,1995,4,turbo de geometria variable,delantera,manual,6,110,150,350,205,9.3,5.3,4.2,4.6,120.0,51.0,spain,valladolid,vendedor profesional
ABARTH,595,2019,21950,19550,31400,08/2019,gasolina,59000,berlina,12 ,blanco,,3660,1627,1485,2300,185/550,1425,3,4,1368,4,turbo,delantera,manual,5,132,180,250,225,6.7,8.7,5.7,6.8,158.0,35.0,spain,valencia,vendedor profesional
VOLKSWAGEN,ID.5,2022,55950,,62748,07/2022,corriente electrica,5400,todo terreno,12 ,rojo,,4582,1852,1619,2766,549/0,2750,5,5,0,0,,todo terreno traccion total permanente,"directo, sin caja de cambios",1,220,299,0,180,6.3,0.0,0.0,0.0,,0.0,spain,madrid,vendedor profesional
HYUNDAI,Bayon,2023,15900,,22655,05/2023,gasolina,13579,todo terreno,60 ,dragon red,,4180,1775,1500,2580,411/1205,1580,5,5,1197,4,,delantera,manual,5,62,84,120,165,13.5,0.0,0.0,0.0,,40.0,spain,barcelona,vendedor profesional
FIAT,Tipo,2020,13995,12995,21550,08/2020,diesel,64758,stationwagon,12 ,azul / metalizado,,4571,1792,1514,2638,550/0,1875,5,5,1248,4,turbo,delantera,manual,5,70,95,200,180,12.9,5.3,3.5,4.2,103.0,50.0,spain,vizcaya,vendedor profesional
FIAT,Tipo,2020,13995,12995,21550,08/2020,diesel,64758,stationwagon,12 ,azul / metalizado,,4571,1792,1514,2638,550/0,1875,5,5,1248,4,turbo,delantera,manual,5,70,95,200,180,12.9,5.3,3.5,4.2,103.0,50.0,spain,vizcaya,vendedor profesional
LAND-ROVER,Discovery Sport,2017,17900,16900,58940,04/2017,diesel,198000,todo terreno,12 ,gris,,4589,2069,1724,2741,541/1698,2505,5,5,1999,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,9,110,150,380,180,10.3,6.3,4.7,5.3,139.0,54.0,spain,malaga,vendedor profesional
AUDI,Q8,2019,65900,,88881,11/2019,gasolina,86330,coupe,12 ,gris,,4986,1995,1705,2994,605/1755,2820,5,5,2995,6,turbo,todo terreno traccion total permanente,automatica secuencial,8,250,340,500,250,5.9,11.4,7.4,8.9,202.0,85.0,spain,madrid,vendedor profesional
MERCEDES-BENZ,Clase A,2023,35900,34900,,04/2023,diesel,9399,berlina mediana o grande,24 ,gris montana metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,granada,vendedor profesional
KIA,Picanto,2021,11990,11990,16985,06/2021,gasolina,38000,berlina,12 ,rojo,,3595,1595,1485,2400,255/1010,1400,5,5,998,3,,delantera,manual,5,49,67,98,161,14.6,0.0,0.0,0.0,100.0,35.0,spain,vizcaya,vendedor profesional
NISSAN,Qashqai,2020,24900,23900,29700,10/2020,gasolina,50700,todo terreno,si,blanco,,4394,1806,1590,2646,430/1598,1870,5,5,1332,4,turbo,delantera,manual,6,103,140,240,193,10.5,7.0,5.0,5.7,130.0,55.0,spain,pontevedra,vendedor profesional
RENAULT,Megane,2011,6900,6900,23360,05/2011,diesel,240000,berlina,12 ,blanco,,4295,1808,1471,2641,405/1162,1799,5,5,1461,4,turbo,delantera,automatica secuencial,6,81,110,240,190,11.7,5.3,3.9,4.4,114.0,60.0,spain,alicante,vendedor profesional
LEXUS,UX,2023,31900,31900,39801,05/2023,gasolina y corriente electrica,16156,todo terreno,36 ,titanium / metalizado,,4495,1840,1540,2640,320/0,2165,5,5,1987,4,,delantera,automatica continua,1,135,184,180,177,8.5,0.0,0.0,0.0,,43.0,spain,vizcaya,vendedor profesional
AUDI,A4,2019,29990,29990,54947,05/2019,gasolina,74000,berlina,12 ,plata,,4726,1842,1427,2820,480/965,2110,4,5,1984,4,turbo,total permanente,automatica secuencial,7,180,245,370,250,5.8,8.4,5.2,6.4,151.0,58.0,spain,barcelona,vendedor profesional
SEAT,Ibiza,2019,13700,13300,17930,11/2019,gasolina,43000,berlina,12 ,azul,,4059,1780,1444,2564,355/0,1620,5,5,999,3,,delantera,manual,5,59,80,95,170,15.3,5.5,4.0,4.6,104.0,40.0,spain,madrid,vendedor profesional
TOYOTA,Yaris,2019,11990,11500,20750,06/2019,gasolina y corriente electrica,165000,berlina,12 ,blanco,,3945,1695,1510,2510,286/0,1565,5,5,1497,4,,delantera,automatica continua,1,73,100,280,165,11.8,3.5,3.6,3.7,84.0,36.0,spain,barcelona,vendedor profesional
HYUNDAI,i10,2019,8990,8990,12665,02/2019,gasolina,92000,berlina,12 ,gris,,3665,1660,1500,2385,252/1046,1440,5,5,998,3,,delantera,manual,5,49,66,95,156,14.7,6.6,4.3,5.1,117.0,40.0,spain,las palmas,vendedor profesional
MERCEDES-BENZ,Clase C,2018,35990,35990,53785,05/2018,diesel,90000,convertible,12 ,blanco,,4686,1810,1409,2840,285/360,2225,2,4,2143,4,turbo de geometria variable,trasera,automatica secuencial,9,125,170,400,231,8.2,5.2,4.3,4.6,121.0,66.0,spain,barcelona,vendedor profesional
HYUNDAI,i20,2016,10500,,15565,06/2016,gasolina,49706,berlina,0,rojo,,4035,1734,1474,2570,301/0,1540,5,5,1248,4,,delantera,manual,5,62,85,124,170,13.1,6.0,4.1,4.8,112.0,50.0,spain,alicante,vendedor profesional
NISSAN,Qashqai,2020,24900,23900,29700,10/2020,gasolina,50700,todo terreno,si,blanco,,4394,1806,1590,2646,430/1598,1870,5,5,1332,4,turbo,delantera,manual,6,103,140,240,193,10.5,7.0,5.0,5.7,130.0,55.0,spain,pontevedra,vendedor profesional
MERCEDES-BENZ,Clase C,2018,35990,35990,53785,05/2018,diesel,90000,convertible,12 ,blanco,,4686,1810,1409,2840,285/360,2225,2,4,2143,4,turbo de geometria variable,trasera,automatica secuencial,9,125,170,400,231,8.2,5.2,4.3,4.6,121.0,66.0,spain,barcelona,vendedor profesional
HYUNDAI,i20,2016,10500,,15565,06/2016,gasolina,49706,berlina,0,rojo,,4035,1734,1474,2570,301/0,1540,5,5,1248,4,,delantera,manual,5,62,85,124,170,13.1,6.0,4.1,4.8,112.0,50.0,spain,alicante,vendedor profesional
RENAULT,Megane,2011,6900,6900,23360,05/2011,diesel,240000,berlina,12 ,blanco,,4295,1808,1471,2641,405/1162,1799,5,5,1461,4,turbo,delantera,automatica secuencial,6,81,110,240,190,11.7,5.3,3.9,4.4,114.0,60.0,spain,alicante,vendedor profesional
FORD,Fiesta,2021,14990,13490,,01/2021,gasolina,34529,berlina mediana o grande,12 ,race red,,,,,,,,,,,,,,,,,,,,,,,,,,spain,tarragona,vendedor profesional
FORD,F-150,2023,75400,,,01/2023,gasolina,7895,"4x4, suv o pickup",12 ,gris,,,,,,,,,,,,,,,,,,,,,,,,,,spain,sevilla,vendedor profesional
VOLKSWAGEN,Caddy M1,2023,39500,35550,,01/2023,diesel,9780,"4x4, suv o pickup",12 ,negro,,,,,,,,,,,,,,,,,,,,,,,,,,spain,valencia,vendedor profesional
MERCEDES-BENZ,Clase B,2020,26990,24990,38112,01/2020,diesel,80000,monovolumen,12 ,azul,,4419,1796,1562,2699,455/1530,2075,5,5,1950,4,turbo de geometria variable,delantera,automatica secuencial,8,110,150,320,219,8.3,0.0,0.0,0.0,,43.0,spain,cadiz,vendedor profesional
SKODA,Octavia,2020,14450,12975,29130,01/2020,diesel,170366,stationwagon,12 ,blanco,,4667,1814,1465,2686,610/1740,1944,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,6,110,150,340,213,8.6,5.2,4.1,4.5,115.0,50.0,spain,madrid,vendedor profesional
CITROEN,C4,2023,22500,22500,29755,05/2023,diesel,9918,berlina,24 ,gris,,4360,1834,1520,2670,380/408,1795,5,5,1499,4,turbo de geometria variable,delantera,automatica secuencial,8,96,130,300,192,11.1,0.0,0.0,0.0,,60.0,spain,barcelona,vendedor profesional
BMW,Serie 7,2014,24990,22990,96450,10/2014,diesel,83000,berlina,12 ,azul / metalizado,,5219,1902,1481,3210,500/0,2535,4,5,2993,6,turbo de geometria variable,trasera,automatica secuencial,8,190,258,560,250,6.2,6.8,4.9,5.6,148.0,80.0,spain,madrid,vendedor profesional
DACIA,Logan,2019,9850,8850,8496,07/2019,gasolina,90576,berlina,12 ,blanco,,4346,1733,1517,2634,510/1257,1570,4,5,999,3,,delantera,manual,5,54,73,97,,0.0,6.5,4.5,5.2,117.0,50.0,spain,barcelona,vendedor profesional
RENAULT,Clio,2019,10900,9900,16830,06/2019,gasolina,104000,stationwagon,12 ,gris,,4267,1732,1445,2589,443/1380,1640,5,5,898,3,turbo,delantera,manual,5,66,90,135,182,12.2,5.6,3.9,4.5,116.0,45.0,spain,barcelona,vendedor profesional
AUDI,A4,2020,82999,,98149,06/2020,gasolina,39000,stationwagon,12 ,negro mythos / metalizado,,4781,1866,1404,2825,505/1510,2350,5,5,2894,6,doble turbo,total permanente,automatica secuencial,8,331,450,600,250,4.1,12.5,7.2,9.2,208.0,58.0,spain,valencia,vendedor profesional
FORD,Focus,2018,12990,,24025,10/2018,diesel,125978,berlina,12 ,rojo,,4360,1823,1484,2648,363/1262,1900,5,5,1498,4,turbo,delantera,manual,6,88,120,270,,10.5,4.3,3.4,3.8,105.0,53.0,spain,ciudad real,vendedor profesional
MERCEDES-BENZ,Clase CLA,2019,30900,29900,36986,05/2019,gasolina,64800,coupe,12 ,negro,,4688,1830,1444,2729,460/0,1945,4,5,1332,4,,delantera,automatica secuencial,7,100,136,200,216,9.0,0.0,0.0,0.0,,43.0,spain,valencia,vendedor profesional
MINI,Countryman,2021,43345,41845,56680,01/2021,gasolina,40809,todo terreno,24 ,gris / metalizado,,4297,1822,1557,2670,450/1390,2175,5,5,1998,4,turbo,todo terreno traccion total permanente,automatica secuencial,8,225,306,450,250,5.1,0.0,0.0,6.9,152.0,51.0,spain,madrid,vendedor profesional
BMW,X5,2023,79900,77900,81200,01/2023,diesel,25800,todo terreno,12 ,negro,,4922,2004,1745,2975,550/1870,2940,5,5,2993,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,210,286,650,235,7.4,6.7,5.1,5.7,150.0,80.0,spain,murcia,vendedor profesional
MERCEDES-BENZ,Clase C,2019,37900,36900,54146,12/2019,diesel,81543,coupe,24 ,gris selenita,,4686,1810,1405,2840,380/0,2145,2,4,1950,4,turbo de geometria variable,trasera,automatica secuencial,9,143,194,400,240,7.0,6.5,3.5,5.0,132.0,66.0,spain,salamanca,vendedor profesional
SEAT,Arona,2023,17900,16800,24640,02/2023,gasolina,24422,todo terreno,24 ,azul,,4153,1780,1552,2566,400/0,1730,5,5,999,3,turbo,delantera,manual,6,81,110,200,190,10.3,0.0,0.0,0.0,,40.0,spain,barcelona,vendedor profesional
BMW,Serie 2,2021,87000,,108883,04/2021,gasolina,19500,coupe,12 ,azul,,4461,1871,1414,2693,390/0,2010,2,4,2979,6,turbo de geometria variable,trasera,automatica secuencial,7,331,450,550,280,4.0,12.7,8.4,10.0,219.0,52.0,spain,barcelona,vendedor profesional
BMW,X2,2019,16490,,41935,08/2019,diesel,238000,todo terreno,0,blanco / metalizado,,4360,1824,1526,2670,470/1355,2115,5,5,1995,4,turbo de geometria variable,delantera,automatica secuencial,8,110,150,350,207,10.0,4.9,4.0,4.4,114.0,51.0,spain,madrid,vendedor profesional
RENAULT,Arkana,2022,29100,27100,36310,12/2022,gasolina y corriente electrica,12149,todo terreno,24 ,blanco universal,,4568,1821,1576,2720,480/1263,1961,5,5,1598,4,turbo,delantera,automatica,4,105,145,148,172,10.8,0.0,0.0,0.0,,50.0,spain,valencia,vendedor profesional
LAND-ROVER,Range Rover Evoque,2013,18500,,40740,02/2013,diesel,79000,todo terreno,12 ,blanco,,4365,1965,1635,2660,575/1445,2200,5,5,2179,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,6,110,150,400,182,9.6,8.4,4.6,6.5,174.0,60.0,spain,barcelona,vendedor profesional
LAND-ROVER,Range Rover Evoque,2020,24900,22900,,02/2020,diesel,93000,"4x4, suv o pickup",12 ,blanco,,,,,,,,,,,,,,,,,,,,,,,,,,spain,toledo,vendedor profesional
FIAT,Tipo,2017,8900,8300,16220,05/2017,gasolina,95322,berlina,12 ,marron / metalizado,,4532,1792,1497,2636,520/0,1725,4,5,1368,4,,delantera,manual,6,70,95,127,182,11.8,7.8,5.4,6.3,144.0,45.0,spain,malaga,vendedor profesional
AUDI,Q3,2022,40900,,56691,03/2022,hibrido enchufable,28999,todo terreno,si,rojo,,4484,1849,1595,2680,380/1375,2320,5,5,1395,4,turbo,delantera,automatica secuencial,6,180,245,400,210,7.3,0.0,0.0,0.0,,45.0,spain,madrid,vendedor profesional
BMW,X3,2018,30900,27900,51550,04/2018,diesel,142300,todo terreno,12 ,negro,,4708,1891,1676,2864,550/1600,2420,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,140,190,400,213,8.0,5.9,5.0,5.3,140.0,60.0,spain,madrid,vendedor profesional
FORD,Puma,2021,18990,17500,27539,05/2021,gasolina,16289,todo terreno,12 ,blanco,,4186,1805,1537,2588,402/1216,1760,5,5,999,3,turbo,delantera,manual,6,92,125,210,191,9.8,0.0,0.0,0.0,,42.0,spain,tarragona,vendedor profesional
LAND-ROVER,Range Rover Evoque,2022,58900,,61209,07/2022,gasolina,9600,todo terreno,12 ,santorini black,,4371,1996,1649,2681,591/1383,2430,5,5,1997,4,turbo,todo terreno traccion total permanente,automatica secuencial,9,147,200,320,216,8.5,9.7,6.5,7.7,172.0,67.0,spain,malaga,vendedor profesional
AUDI,A3,2018,22375,,32272,07/2018,diesel,33109,berlina,12 ,blanco,,4313,1785,1426,2637,380/1220,1845,5,5,1598,4,turbo de geometria variable,delantera,automatica secuencial,7,85,116,250,200,10.7,4.2,3.9,4.0,106.0,50.0,spain,malaga,vendedor profesional
AUDI,Q3,2022,40900,,56691,03/2022,hibrido enchufable,28999,todo terreno,si,rojo,,4484,1849,1595,2680,380/1375,2320,5,5,1395,4,turbo,delantera,automatica secuencial,6,180,245,400,210,7.3,0.0,0.0,0.0,,45.0,spain,madrid,vendedor profesional
LAND-ROVER,Range Rover Evoque,2022,58900,,61209,07/2022,gasolina,9600,todo terreno,12 ,santorini black,,4371,1996,1649,2681,591/1383,2430,5,5,1997,4,turbo,todo terreno traccion total permanente,automatica secuencial,9,147,200,320,216,8.5,9.7,6.5,7.7,172.0,67.0,spain,malaga,vendedor profesional
BMW,X3,2018,30900,27900,51550,04/2018,diesel,142300,todo terreno,12 ,negro,,4708,1891,1676,2864,550/1600,2420,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,140,190,400,213,8.0,5.9,5.0,5.3,140.0,60.0,spain,madrid,vendedor profesional
LAND-ROVER,Range Rover Evoque,2020,24900,22900,,02/2020,diesel,93000,"4x4, suv o pickup",12 ,blanco,,,,,,,,,,,,,,,,,,,,,,,,,,spain,toledo,vendedor profesional
FIAT,Tipo,2017,8900,8300,16220,05/2017,gasolina,95322,berlina,12 ,marron / metalizado,,4532,1792,1497,2636,520/0,1725,4,5,1368,4,,delantera,manual,6,70,95,127,182,11.8,7.8,5.4,6.3,144.0,45.0,spain,malaga,vendedor profesional
LAND-ROVER,Range Rover Evoque,2013,18500,,40740,02/2013,diesel,79000,todo terreno,12 ,blanco,,4365,1965,1635,2660,575/1445,2200,5,5,2179,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,6,110,150,400,182,9.6,8.4,4.6,6.5,174.0,60.0,spain,barcelona,vendedor profesional
FORD,Puma,2021,18990,17500,27539,05/2021,gasolina,16289,todo terreno,12 ,blanco,,4186,1805,1537,2588,402/1216,1760,5,5,999,3,turbo,delantera,manual,6,92,125,210,191,9.8,0.0,0.0,0.0,,42.0,spain,tarragona,vendedor profesional
PORSCHE,911,2019,142990,139990,159516,10/2019,gasolina,14000,coupe,12 ,negro,,4519,1852,1300,2450,132/0,1985,2,4,2981,6,doble turbo,trasera,automatica secuencial,8,331,450,530,308,3.7,10.7,7.9,8.9,205.0,64.0,spain,barcelona,vendedor profesional
NISSAN,Qashqai,2022,24500,,32700,01/2022,gasolina,39523,todo terreno,12 ,blanco,,4425,1848,1625,2665,436/1447,1935,5,5,1332,4,turbo,delantera,manual,6,103,140,240,196,10.2,0.0,0.0,0.0,,55.0,spain,cordoba,vendedor profesional
OPEL,Corsa,2015,10900,10500,16240,02/2015,gasolina,43059,berlina,12 ,blanco,,4021,1746,1481,2510,285/1120,1615,5,5,1398,4,,delantera,manual,5,66,90,130,175,13.2,6.5,4.3,5.1,120.0,45.0,spain,barcelona,vendedor profesional
BMW,X2,2019,16490,,41935,08/2019,diesel,238000,todo terreno,0,blanco / metalizado,,4360,1824,1526,2670,470/1355,2115,5,5,1995,4,turbo de geometria variable,delantera,automatica secuencial,8,110,150,350,207,10.0,4.9,4.0,4.4,114.0,51.0,spain,madrid,vendedor profesional
BMW,X3,2022,46990,,69150,07/2022,hibrido enchufable,32000,todo terreno,12 ,gris / metalizado,,4708,1891,1676,2864,450/1500,2600,5,5,1998,4,turbo,todo terreno traccion total permanente,automatica secuencial,8,215,292,420,205,6.1,0.0,0.0,0.0,,50.0,spain,madrid,vendedor profesional
TESLA,Model X,2019,62990,,105990,09/2019,corriente electrica,69392,todo terreno,0,blanco perla multicapa,,5035,1999,1684,2965,0/0,2439,5,5,0,0,,todo terreno traccion total permanente,"directo, sin caja de cambios",1,568,772,967,250,3.0,0.0,0.0,0.0,,0.0,spain,barcelona,vendedor profesional
MINI,Countryman,2019,29900,27900,38300,07/2019,gasolina,45180,todo terreno,12 ,verde,,4299,1822,1557,2670,450/1390,2110,5,5,1998,4,,todo terreno traccion total permanente,automatica secuencial,8,141,192,280,222,7.3,8.8,5.9,7.0,144.0,51.0,spain,la coruna,vendedor profesional
VOLKSWAGEN,Passat,2020,23900,21900,43339,06/2020,diesel,48600,berlina,12 ,gris plata / metalizado,,4873,1832,1483,2786,586/1152,2080,4,5,1968,4,turbo de geometria variable,delantera,manual,6,110,150,340,223,8.9,4.6,3.6,4.2,112.0,90.0,spain,madrid,vendedor profesional
OPEL,Astra,2018,13900,12900,24175,08/2018,diesel,35183,stationwagon,12 ,rojo,,4702,1809,1499,2662,540/1630,1985,5,5,1598,4,turbo,delantera,manual,6,81,110,300,195,11.4,4.2,3.3,3.6,112.0,48.0,spain,guadalajara,vendedor profesional
MERCEDES-BENZ,Clase GLE,2023,95800,94300,104413,08/2023,diesel,15,coupe,36 ,verde esmeralda metalizad,,4939,2010,1730,2915,655/1790,3040,5,5,2925,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,9,243,330,700,240,5.7,8.8,4.8,6.9,183.0,85.0,spain,cordoba,vendedor profesional
MERCEDES-BENZ,EQE,2023,69900,65943,76000,02/2023,corriente electrica,15893,berlina,24 ,plata high-tech metalizad / metalizado,,4946,1936,1510,3210,430/0,2880,4,5,0,0,,trasera,"directo, sin caja de cambios",1,215,292,565,210,6.4,0.0,0.0,0.0,,0.0,spain,valencia,vendedor profesional
MERCEDES-BENZ,Clase GLC,2022,47500,46500,,06/2022,diesel,39000,"4x4, suv o pickup",24 ,blanco polar,,,,,,,,,,,,,,,,,,,,,,,,,,spain,granada,vendedor profesional
VOLKSWAGEN,Golf,2020,21900,20900,28602,01/2020,gasolina,69974,berlina,12 ,negro,,4258,1790,1492,2620,380/1270,1780,5,5,1498,4,turbo,delantera,manual,6,96,130,200,210,9.1,6.4,4.2,5.0,119.0,50.0,spain,la coruna,vendedor profesional
AUDI,Q2,2023,34500,32900,35551,02/2023,gasolina,10500,todo terreno,24 ,blanco,,4208,1794,1508,2601,405/1050,1855,5,5,1495,4,turbo,delantera,manual,6,110,150,250,218,8.6,0.0,0.0,0.0,,50.0,spain,cadiz,vendedor profesional
AUDI,Q2,2018,22900,21500,29969,03/2018,diesel,108000,todo terreno,12 ,blanco,,4191,1794,1508,2601,405/1050,1880,5,5,1598,4,turbo,delantera,automatica secuencial,7,85,116,250,197,10.5,4.5,4.3,4.3,109.0,50.0,spain,malaga,vendedor profesional
MAZDA,Mazda5,2010,9490,8990,28000,09/2010,diesel,142000,monovolumen,12 ,negro,,4505,1745,1615,2750,112/1566,2250,5,7,1998,4,turbo,delantera,manual,6,105,143,360,196,11.0,7.3,5.4,6.1,159.0,60.0,spain,madrid,vendedor profesional
CITROEN,C4,2016,14900,,30210,06/2016,diesel,87900,monovolumen,12 ,gris,,4428,1826,1611,2785,537/0,2030,5,5,1997,4,turbo,delantera,automatica secuencial,6,110,150,370,207,10.1,5.0,3.9,4.3,112.0,55.0,spain,badajoz,vendedor profesional
KIA,EV6,2023,46495,43395,,06/2023,electrico,2500,"4x4, suv o pickup",72 ,glacier (glb),,,,,,,,,,,,,,,,,,,,,,,,,,spain,barcelona,vendedor profesional
AUDI,A6,2018,72900,71900,145113,08/2018,gasolina,99000,stationwagon,12 ,blanco,,4979,1936,1461,2915,565/0,2580,5,5,3993,8,turbo,total permanente,automatica secuencial,8,445,605,700,250,3.7,13.4,7.4,9.6,223.0,75.0,spain,valencia,vendedor profesional
MERCEDES-BENZ,Clase CLA,2023,43900,42900,,09/2023,diesel,1,berlina mediana o grande,24 ,plata iridio,,,,,,,,,,,,,,,,,,,,,,,,,,spain,murcia,vendedor profesional
SEAT,Ibiza,2011,6950,6950,15100,05/2011,gasolina,175000,berlina,12 ,blanco / metalizado,,4034,1693,1428,2469,284/0,1501,3,5,1390,4,,delantera,manual,5,63,85,132,177,11.8,8.0,4.7,5.9,139.0,45.0,spain,castellon,vendedor profesional
MERCEDES-BENZ,Clase A,2023,37900,36000,,06/2023,diesel,11332,,24 ,-,,,,,,,,,,,,,,,,,,,,,,,,,,spain,la rioja,vendedor profesional
NISSAN,Qashqai,2020,18990,17490,27850,11/2020,diesel,107184,todo terreno,12 ,blanco (solido),,4394,1806,1590,2646,430/1598,1955,5,5,1461,4,turbo,delantera,manual,6,85,115,260,181,12.3,4.3,3.6,3.9,102.0,55.0,spain,sevilla,vendedor profesional
VOLKSWAGEN,Golf,2018,17990,,33802,06/2018,diesel,230000,berlina,12 ,gris / metalizado,,4258,1790,1492,2620,380/1270,1850,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,7,110,150,340,216,8.6,5.1,3.9,4.4,118.0,50.0,spain,alicante,vendedor profesional
KIA,XCeed,2022,20500,19500,27100,09/2022,gasolina,27117,todo terreno,84 ,blue flame / metalizado,,4395,1826,1483,2650,426/1378,1820,5,5,998,3,turbo,delantera,manual,6,88,120,172,186,11.5,0.0,0.0,0.0,,50.0,spain,guadalajara,vendedor profesional
VOLVO,XC90,2021,57000,56000,,04/2021,diesel,86947,"4x4, suv o pickup",24 ,denim blue,,,,,,,,,,,,,,,,,,,,,,,,,,spain,la rioja,vendedor profesional
SKODA,Octavia,2019,14990,14990,,01/2019,gasolina,170000,familiar,12 ,azul / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,madrid,vendedor profesional
BMW,i3,2020,19999,19999,40700,06/2020,corriente electrica,73000,monovolumen,12 ,azul / metalizado,,4011,1775,1590,2570,260/1100,1710,5,4,0,0,,trasera,"directo, sin caja de cambios",1,125,170,250,150,7.3,0.0,0.0,0.0,,0.0,spain,lugo,vendedor profesional
MINI,Mini,2019,18480,17980,,09/2019,gasolina,42000,berlina mediana o grande,12 ,blanco / metalizado,,,,,,,,,,,,,,,,,,,,,,,,,,spain,cordoba,vendedor profesional
BMW,Serie 3,2004,32500,31500,,06/2004,gasolina,187900,deportivo o coupe,12 ,negro,,,,,,,,,,,,,,,,252,343,,,,,,,,,spain,madrid,vendedor profesional
VOLVO,S90,2023,58900,58900,,05/2023,hibrido,30933,berlina mediana o grande,12 ,negro onyx,,,,,,,,,,,,,,,,,,,,,,,,,,spain,ciudad real,vendedor profesional
TOYOTA,RAV-4,2020,36990,35490,,06/2020,hibrido,52904,"4x4, suv o pickup",24 ,rojo tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,spain,sevilla,vendedor profesional
BMW,X7,2020,79900,,107600,11/2020,diesel,50060,todo terreno,20 ,negro / metalizado,,5151,2000,1805,3105,750/2120,3295,5,7,2993,6,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,250,340,700,245,6.1,7.8,5.9,6.6,167.0,80.0,spain,malaga,vendedor profesional
MINI,Countryman,2020,18990,18990,31750,02/2020,diesel,140000,todo terreno,12 ,gris,,4297,1822,1557,2670,450/1390,2015,5,5,1496,3,turbo,delantera,manual,6,85,116,270,192,11.2,4.8,3.7,4.1,107.0,51.0,spain,girona,vendedor profesional
OPEL,Astra,2020,13790,13790,28600,03/2020,gasolina,61644,berlina,12 ,royal,,4370,1809,1485,2662,370/1210,1763,5,5,1199,3,turbo,delantera,manual,6,107,145,225,220,9.4,5.2,3.8,4.3,99.0,48.0,spain,madrid,vendedor profesional
VOLVO,XC90,2023,57900,57900,,07/2023,gasolina,22033,"4x4, suv o pickup",12 ,negro onyx,,,,,,,,,,,,,,,,,,,,,,,,,,spain,ciudad real,vendedor profesional
VOLKSWAGEN,ID.3,2022,33500,,41608,09/2022,corriente electrica,3796,berlina,12 ,blanco,,4356,1809,1568,2771,380/1267,1794,5,4,0,0,,trasera,"directo, sin caja de cambios",1,150,204,310,160,7.3,0.0,0.0,0.0,,0.0,spain,madrid,vendedor profesional
